headline_text,article_url,article_preview,date,author
Newly-engaged Sophie Habboo treats fans to a preview of her Cape Town escape with fiancé Jamie Laing - after 'almost dying' in seven-hour hospital dash,/tvshowbiz/article-10358405/Newly-engaged-Sophie-Habboo-treats-fans-preview-Cape-Town-escape.html,"The Made In Chelsea star, 28, has been treating her fans to a preview of her post-engagement Cape Town getaway with fiancé Jamie Laing, 33, this week.",2021-12-31 12:10:16,Millie Payne For Mailonline
"'This is one of the seven times I laughed this year': Helena Christensen, 52, puts on a busty display in an extreme plunging black swimsuit for throwback snap",/tvshowbiz/article-10358455/Helena-Christensen-52-puts-busty-display-plunging-black-swimsuit.html,"The supermodel, 52, looked sensational in the black one-piece that showcased her ample assets as she lounged on a chair.",2021-12-31 12:11:42,Milly Veitch For Mailonline
'She's not left that bed in yonks!': Emmerdale fans point out a huge blunder after serial killer Meena Jutla kidnaps her sister Manpreet Sharma,/tvshowbiz/article-10358413/Emmerdale-fans-point-blunder-serial-killer-Meena-Jutla-kidnaps-sister-Manpreet-Sharma.html,Emmerdale fans have spotted a problem in Thursday episode.,2021-12-31 12:15:07,Laura Parkin For Mailonline
'Your radiant and beautiful soul explodes from you': Ellie Goulding's art dealer husband Caspar Jopling shares a sweet post for her 35th birthday,/tvshowbiz/article-10358399/Ellie-Gouldings-art-dealer-husband-Caspar-Jopling-shares-sweet-post-35th-birthday.html,"The art dealer, 29, posted a photo of her smiling in front of a sparkler, a bottle of bubbly and a birthday cake.",2021-12-31 12:20:31,Ella Hodson For Mailonline
I'll smash ya bumper cars in! Keith Lemon star Leigh Francis cosies up to wife Jill on rides and tucks into hot dogs during Winter Wonderland trip,/tvshowbiz/article-10358369/Keith-Lemon-cosies-wife-Jill-Carter-bumper-cars-enjoy-trip-Winter-Wonderland.html,"The funnyman, 48, whose real name is Leigh Francis, enjoyed several of the rides at the London attraction.",2021-12-31 12:25:48,Milly Veitch For Mailonline
"BBQs, beach parties and watching the fireworks: How celebrities including Rebel Wilson, Bec Judd, Lisa Wilkinson and Pip Edwards celebrated New Year's Eve",/tvshowbiz/article-10358457/How-celebrities-ringing-New-Years-Eve.html,The A-list were ringing in the New Year in style on Friday night.,2021-12-31 12:44:02,Marta Jary For Daily Mail Australia
Shane Warne turns a few heads as he rings in the New Year at Melbourne's iconic pub The Espy with cricket mates including Andrew Symonds,/tvshowbiz/article-10358397/Shane-Warne-rings-New-Year-Melbournes-Hotel-Esplanade.html,"The spin king, 52, looked relaxed as he celebrated the end of 2021 with his cricket pals including Andrew Symonds and Michael Hussey at Melbourne's Hotel Esplanade on Friday.",2021-12-31 12:45:03,Kristy Johnson For Daily Mail Australia
Pregnant influencer Tammy Hembrow endures a miserable New Year's Eve as she reveals she's sick with Covid,/tvshowbiz/article-10358529/Pregnant-influencer-Tammy-Hembrow-Covid-New-Years-Eve.html,"The 27-year-old shared several images from her quiet celebrations as she lay in bed, sipping a warm drink while sick with the virus.",2021-12-31 12:54:08,Marta Jary For Daily Mail Australia
Helen Skelton gives birth! TV star confirms she has welcomed her third child with rugby ace husband Richie Myler and thanks 'legendary' NHS staff,/tvshowbiz/article-10358583/Helen-Skelton-confirms-birth-child.html,"Taking to Instagram on New Year's Eve, the presenter, 38, revealed they had welcomed the latest addition to their family earlier this week",2021-12-31 13:03:09,Jason Chester
ABC slammed for 'woke' coverage of Sydney's 9pm New Year's Eve fireworks display - with anger over its 'political' theme at the family event,/tvshowbiz/article-10358489/Viewers-slam-ABC-woke-childrens-9pm-New-Years-Eve-fireworks-Sydney.html,"'Where has the family-friendly theme gone? Why has it become political? The kids wanted to hear some good music before bed, how disappointing,' one viewer wrote on Twitter.",2021-12-31 13:26:27,Kristy Johnson For Daily Mail Australia
'Congratulations on an incredible year!' Gordon Ramsay shares a sweet throwback snap of twins Holly and Jack to celebrate their 22nd birthday,/tvshowbiz/article-10358169/Gordon-Ramsay-shares-adorable-throwback-snap-twins-Holly-Jack-22nd-birthday.html,"The chef, 55, shared a sweet throwback snap to mark the occasion, posting the image to his 13.2 million followers on Instagram.",2021-12-31 13:45:20,Laura Fox For Mailonline
Strictly Come Dancing's Johannes Radebe declares 'love' for dance partner John Whaite and reveals his family is 'desperate' to meet him,/tvshowbiz/article-10358653/Strictlys-Johannes-Radebe-gushes-beautiful-impact-John-Whaites-makes-life.html,"The Strictly Come Dancing professional dancer, 34, took to the photo and video sharing platform on Thursday to pay tribute to his dance partner, 32.",2021-12-31 14:05:13,Millie Payne For Mailonline
